,Socrates,Plato,Aristotle,Confucius,Laozi,Zhuangzi,Mozi,Epicurus,Zeno of Citium,Seneca,Epictetus,Marcus Aurelius,Plotinus,Augustine of Hippo,Boethius,Anselm of Canterbury,Thomas Aquinas,William of Ockham,Niccolò Machiavelli,Francis Bacon,René Descartes,Blaise Pascal,Baruch Spinoza,John Locke,Gottfried Wilhelm Leibniz,George Berkeley,David Hume,Immanuel Kant,Georg Wilhelm Friedrich Hegel,Arthur Schopenhauer,Søren Kierkegaard,Karl Marx,Friedrich Nietzsche,John Stuart Mill,Jeremy Bentham,William James,Henri Bergson,Bertrand Russell,Ludwig Wittgenstein,Martin Heidegger,Jean-Paul Sartre,Simone de Beauvoir,Maurice Merleau-Ponty,Michel Foucault,Jacques Derrida,Jürgen Habermas,Karl Popper,Hannah Arendt,Theodor W. Adorno,Max Horkheimer,Herbert Marcuse,Alasdair MacIntyre,Richard Rorty,John Rawls,Robert Nozick,Martha Nussbaum,Amartya Sen,Judith Butler,Charles Taylor,Slavoj Žižek,Alain Badiou,Gilles Deleuze,Félix Guattari,Paul Ricoeur,Emmanuel Levinas,Hans-Georg Gadamer,Albert Camus,Maurice Blanchot,Isaiah Berlin,Karl Jaspers,Gabriel Marcel,Alfred North Whitehead,Gilbert Ryle,Donald Davidson,Saul Kripke,Hilary Putnam,Thomas Nagel,Derek Parfit,Peter Singer,Michael Sandel,Willard Van Orman Quine,John Searle,Daniel Dennett,David Chalmers,Patricia Churchland,Paul Feyerabend,Thomas Kuhn,Michel Henry,Quentin Meillassoux,Cornel West,Kwame Anthony Appiah,Avicenna,Averroes,Al-Farabi,Al-Ghazali,Mulla Sadra,Ibn Khaldun,Mencius,Wang Yangming,Xunzi,Han Feizi,Nagarjuna,Vasubandhu,Dignaga,Dharmakirti,Shankara,Ramanuja,Madhva,Sri Aurobindo,Rabindranath Tagore,Jiddu Krishnamurti,G.E. Moore,John Dewey,C.I. Lewis,Richard Swinburne,Alvin Plantinga,William Lane Craig,Henri Lefebvre,Jean Baudrillard,Cornelius Castoriadis,Ivan Illich,Jacques Ellul,Pierre Bourdieu,Antonio Gramsci,Raymond Geuss,David Lewis,Peter Strawson,R.G. Collingwood,José Ortega y Gasset,Giordano Bruno,Erasmus of Rotterdam,Michel de Montaigne,John Scotus Eriugena,Parmenides,Heraclitus,Protagoras,Democritus,Thales,Anaximander,Anaximenes,Diogenes of Sinope,Chrysippus,Duns Scotus,Thomas Reid,Peirce,Jacques Rancière,Ernesto Laclau,Chantal Mouffe
Socrates,0,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
Plato,18,0,20,0,0,0,0,0,0,0,1,0,20,16,0,0,11,0,0,0,0,0,0,3,0,0,0,12,0,0,0,0,11,1,0,0,0,0,0,3,0,2,0,0,2,0,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Aristotle,2,17,0,0,0,0,0,1,0,0,0,0,6,0,1,0,20,0,0,1,1,0,0,6,0,0,1,15,0,0,0,1,12,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Confucius,0,0,0,0,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,18,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laozi,0,0,1,18,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Zhuangzi,0,0,1,19,20,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mozi,0,0,0,19,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,19,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Epicurus,0,1,0,0,0,0,0,0,1,2,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,0,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Zeno of Citium,0,4,0,0,0,0,0,0,0,19,19,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
Seneca,1,7,7,0,0,0,0,0,2,0,20,20,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
