,Albert Einstein,Isaac Newton,Charles Darwin,Nikola Tesla,Galileo Galilei,Marie Curie,Stephen Hawking,Carl Sagan,Richard Feynman,James Clerk Maxwell,Michael Faraday,Alan Turing,Johannes Kepler,Euclid,Archimedes,Pythagoras,Rosalind Franklin,Gregor Mendel,Dmitri Mendeleev,Linus Pauling,Niels Bohr,Ernest Rutherford,Max Planck,Werner Heisenberg,Erwin Schrödinger,Paul Dirac,Louis Pasteur,Robert Hooke,Antoine Lavoisier,Emil Fischer,Barbara McClintock,Florence Nightingale,Carl Linnaeus,Rachel Carson,Francis Crick,James Watson,Hans Christian Ørsted,Henri Poincaré,Benoît Mandelbrot,Thomas Edison,Benjamin Franklin,Claude Shannon,John von Neumann,Norbert Wiener,Ada Lovelace,George Boole,Joseph Fourier,Pierre-Simon Laplace,Ludwig Boltzmann,Hermann von Helmholtz,Alfred Wegener,J. Robert Oppenheimer,Enrico Fermi,Subrahmanyan Chandrasekhar,Richard Dawkins,E.O. Wilson,Jane Goodall,Alexander Fleming,Frederick Banting,John Dalton,William Harvey,Gerty Cori,Hermann Minkowski,Edward Jenner,Tycho Brahe,Christian Doppler,Edwin Hubble,Vesto Slipher,Cecilia Payne-Gaposchkin,Fritz Haber,Murray Gell-Mann,Lev Landau,Lise Meitner,Max Born,Abdus Salam,Steven Weinberg,Kip Thorne,Brian Greene,Sean Carroll,John Archibald Wheeler,Roger Penrose,Freeman Dyson,Guglielmo Marconi,Werner von Siemens,Michael Atiyah,Grigori Perelman,Andrew Wiles,John Nash,Henrietta Swan Leavitt,William Thomson,Blaise Pascal,Leonhard Euler,Gottfried Wilhelm Leibniz,René Descartes,Kurt Gödel,David Hilbert,Carl Friedrich Gauss,Mary Anning,Charles Lyell,Alfred Russel Wallace,Thomas Huxley,Edwin Schrödinger,Jonas Salk,Kary Mullis,Paul Ehrlich,Rita Levi-Montalcini,Tu Youyou,Tim Berners-Lee,Vint Cerf,Donald Knuth,Alan Kay,Douglas Engelbart,John Bardeen,Walter Brattain,William Shockley,Wilhelm Röntgen,Henri Becquerel,Paul Langevin,Rudolf Virchow,Santiago Ramón y Cajal,Thomas Hunt Morgan,Hermann Staudinger,Robert Koch,Hans Bethe,Victor Hess,James Chadwick,Irving Langmuir,Glenn T. Seaborg,Charles Babbage,John Logie Baird,Hedy Lamarr,Nikolaus Otto,Rudolf Diesel,Karl Benz,Leonardo da Vinci,Ibn al-Haytham,Al-Khwarizmi,Omar Khayyam,Avicenna,Robert Boyle,Evangelista Torricelli,Christian Huygens,Antoine-Henri Becquerel,Daniel Bernoulli,André-Marie Ampère,Georg Ohm,Gustav Kirchhoff,Hans Geiger,Augustin-Jean Fresnel
Albert Einstein,0,3,0,0,1,11,5,4,14,1,0,0,0,0,0,0,0,0,0,0,20,0,20,20,20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,9,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isaac Newton,13,0,1,0,13,2,11,0,3,11,4,0,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,19,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
Charles Darwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nikola Tesla,4,0,0,0,0,1,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galileo Galilei,0,19,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,0,0
Marie Curie,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,4,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,17,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephen Hawking,4,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,6,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carl Sagan,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richard Feynman,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,17,13,0,0,15,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Clerk Maxwell,20,1,0,5,0,0,0,0,8,0,20,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
