Author,Birth Year,Death Year,Display Name
Socrates,-469,-399,Socrates
Plato,-427,-347,Plato
Aristotle,-384,-322,Aristotle
Confucius,-551,-479,Confucius
Laozi,-571,-471,Laozi
Zhuangzi,-369,-286,Zhuangzi
Mozi,-470,-391,Mozi
Epicurus,-341,-270,Epicurus
Zeno of Citium,-334,-262,Zeno of Citium
Seneca,-4,65,Seneca
Epictetus,55,135,Epictetus
Marcus Aurelius,121,180,Marcus Aurelius
Plotinus,204,270,Plotinus
Augustine of Hippo,354,430,Augustine of Hippo
Boethius,477,524,Boethius
Anselm of Canterbury,1033,1109,Anselm of Canterbury
Thomas Aquinas,1225,1274,Thomas Aquinas
William of Ockham,1287,1347,William of Ockham
Niccolò Machiavelli,1469,1527,Niccolò Machiavelli
Francis Bacon,1561,1626,Francis Bacon
René Descartes,1596,1650,René Descartes
Blaise Pascal,1623,1662,Blaise Pascal
Baruch Spinoza,1632,1677,Baruch Spinoza
John Locke,1632,1704,John Locke
Gottfried Wilhelm Leibniz,1646,1716,Gottfried Wilhelm Leibniz
George Berkeley,1685,1753,George Berkeley
David Hume,1711,1776,David Hume
Immanuel Kant,1724,1804,Immanuel Kant
Georg Wilhelm Friedrich Hegel,1770,1831,Georg Wilhelm Friedrich Hegel
Arthur Schopenhauer,1788,1860,Arthur Schopenhauer
Søren Kierkegaard,1813,1855,Søren Kierkegaard
Karl Marx,1818,1883,Karl Marx
Friedrich Nietzsche,1844,1900,Friedrich Nietzsche
John Stuart Mill,1806,1873,John Stuart Mill
Jeremy Bentham,1748,1832,Jeremy Bentham
William James,1842,1910,William James
Henri Bergson,1859,1941,Henri Bergson
Bertrand Russell,1872,1970,Bertrand Russell
Ludwig Wittgenstein,1889,1951,Ludwig Wittgenstein
Martin Heidegger,1889,1976,Martin Heidegger
Jean-Paul Sartre,1905,1980,Jean-Paul Sartre
Simone de Beauvoir,1908,1986,Simone de Beauvoir
Maurice Merleau-Ponty,1908,1961,Maurice Merleau-Ponty
